,structure,GH,ads-bandcenter,Lads-H,Nval,EI,EA,Enads,CN,Lpa,LPb,Ssur,Lau-H,Cads,Pstr,CAX,CAY,CAZ-M,Cads-val,deltaEA,Erel
31,0-MoSe-Au-2,1.32360992,-2.495724215,2.1184,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,4.811585384,6.233249333,0,4.963602861,6.214141766,2.727994365,2.233249333,1.275,0.96659983
32,05-MoSe-Au-1,1.31666894,-2.587271797,2.129966667,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.192413717,6.224282667,0.5,2.064989415,1.125461161,2.743242512,2.224282667,1.275,0.96671808
33,05-MoSe-Au-1,1.39000457,-1.999668957,1.901333333,4.333333333,8.866,1.595,2.42,3,9.920599937,9.920599937,85.2327507,5.262497311,8.674089333,0.5,1.205627032,8.427165155,1.801663933,4.340756,0.425,0.96671808
34,05-MoSe-Au-1,-0.37570342,-2.555006163,1.5865,10,9.225,2.309,2.54,1,9.920599937,9.920599937,85.2327507,1.586444452,11.089268,0.5,3.307236089,3.05003518,5.560328704,1.089268,0.289,0.96671808
35,05-MoSe-Au-1,1.36497316,-2.521511007,2.011866667,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,5.831249614,6.257872,0.5,-1.661271453,6.681960764,2.579828527,2.257872,1.275,0.96671808
36,05-MoSe-Au-1,1.31729986,-2.587271797,2.125433333,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.178974036,6.224282667,0.5,2.043823801,1.147412758,2.736583393,2.224282667,1.275,0.96671808
37,05-MoSe-Au-1,1.35647951,-2.036986015,1.899366667,4.333333333,8.866,1.595,2.42,3,9.920599937,9.920599937,85.2327507,4.20517148,8.650433333,0.5,3.29844592,0.34559757,1.761327282,4.3171,0.425,0.96671808
38,05-MoSe-Au-1,1.35426726,-2.545277991,2.124433333,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,5.592047056,6.259841,0.5,8.268075547,0.528388424,2.730331886,2.259841,1.275,0.96671808
39,05-MoSe-Au-1,1.30824818,-2.545277991,2.012866667,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,5.838600484,6.259841,0.5,8.266598503,0.958364423,2.576722582,2.259841,1.275,0.96671808
40,05-MoSe-Au-1,1.48642975,-2.519643286,1.5198,4,9.753,2.02,2.55,1,9.920599937,9.920599937,85.2327507,5.066952752,6.266222,0.5,-1.653136245,4.691793724,3.149643917,2.266222,1.275,0.96671808
41,05-MoSe-Au-1,-0.04674146,-2.555006163,1.58294,10,9.225,2.309,2.54,1,9.920599937,9.920599937,85.2327507,1.58293732,11.089268,0.5,3.30666,3.81842,5.531938002,1.089268,0.289,0.96671808
42,05-MoSe-Au-1,1.35255628,-2.586290321,2.119533333,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.835998146,6.277252,0.5,1.28170594,6.888658234,2.712799673,2.277252,1.275,0.96671808
43,05-MoSe-Au-1,-0.3752622,-2.555006163,1.5864,10,9.225,2.309,2.54,1,9.920599937,9.920599937,85.2327507,1.586320714,11.089268,0.5,3.302733516,3.070106312,5.559121331,1.089268,0.289,0.96671808
44,05-MoSe-Au-1,1.31329233,-2.545277991,2.1071,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,5.414119921,6.259841,0.5,8.27845456,0.550749237,2.696441722,2.259841,1.275,0.96671808
45,05-MoSe-Au-1,1.35386287,-2.521511007,2.117833333,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,5.614151724,6.257872,0.5,-1.641820512,6.264241836,2.719223148,2.257872,1.275,0.96671808
46,05-MoSe-Au-2,1.2822526,-2.571386857,2.1519,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.333514384,6.228034,0.5,1.648842488,6.194700602,2.768905074,2.228034,1.275,0.96671808
47,05-MoSe-Au-2,1.3358905,-2.571386857,2.111266667,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,4.21170956,6.228034,0.5,6.974228698,-1.701693351,2.706435907,2.228034,1.275,0.96671808
48,05-MoSe-Au-2,-0.57004771,-2.512222374,1.5862,10,9.225,2.309,2.54,1,9.920599937,9.920599937,85.2327507,1.586196979,11.144743,0.5,1.497343685,3.790098628,5.605767676,1.144743,0.289,0.96671808
49,05-MoSe-Au-2,1.15856494,-2.625301182,2.1209,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.83315702,6.207072,0.5,1.668910093,0.529021241,2.71581431,2.207072,1.275,0.96671808
50,05-MoSe-Au-2,1.12442679,-2.507198349,2.132733333,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.176567332,6.232391,0.5,-1.7018019,6.233559115,2.745293005,2.232391,1.275,0.96671808
51,05-MoSe-Au-2,-0.57036263,-2.512222374,1.5862,10,9.225,2.309,2.54,1,9.920599937,9.920599937,85.2327507,1.586151069,11.144743,0.5,0.850890968,2.379993666,5.608011202,1.144743,0.289,0.96671808
52,05-MoSe-Au-2,1.28168214,-2.571386857,2.149433333,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.276018329,6.228034,0.5,1.65301344,6.200817971,2.767356347,2.228034,1.275,0.96671808
53,05-MoSe-Au-2,2.13452218,-2.50454648,2.194366667,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,5.769159094,6.261524,0.5,-3.30491689,5.730035659,2.945311277,2.261524,1.275,0.96671808
54,05-MoSe-Au-2,1.2939538,-2.507477134,1.52,4,9.753,2.02,2.55,1,9.920599937,9.920599937,85.2327507,5.031392002,6.314611,0.5,5.127220317,4.853168938,3.144787435,2.314611,1.275,0.96671808
55,05-MoSe-Au-2,1.51562834,-2.509351023,1.517,4,9.753,2.02,2.55,1,9.920599937,9.920599937,85.2327507,5.10779369,6.238771,0.5,6.616461453,1.782678723,3.142635677,2.238771,1.275,0.96671808
56,05-MoSe-Au-2,1.4692884,-2.507791949,1.5166,4,9.753,2.02,2.55,1,9.920599937,9.920599937,85.2327507,3.87331505,6.233498,0.5,-1.667633559,4.781352387,3.150487128,2.233498,1.275,0.96671808
57,05-MoSe-Au-2,-0.25655169,-2.512222374,1.5801,10,9.225,2.309,2.54,1,9.920599937,9.920599937,85.2327507,1.580069094,11.144743,0.5,1.653436608,2.86389078,5.315791584,1.144743,0.289,0.96671808
58,05-MoSe-Au-2,1.33737834,-2.571386857,2.114733333,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,4.226324638,6.228034,0.5,2.019610148,6.885247923,2.71344433,2.228034,1.275,0.96671808
59,05-MoSe-Au-2,1.1236049,-2.507198349,2.128,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.192852951,6.232391,0.5,-2.061323032,6.853527511,2.739546624,2.232391,1.275,0.96671808
60,05-MoSe-Au-2,1.12434867,-2.507198349,2.1282,4,9.753,2.02,2.55,3,9.920599937,9.920599937,85.2327507,3.187167843,6.232391,0.5,-1.694564332,6.241230819,2.740593104,2.232391,1.275,0.96671808
61,05-MoSe-Au-2,-0.56953866,-2.512222374,1.5854,10,9.225,2.309,2.54,1,9.920599937,9.920599937,85.2327507,1.585397661,11.144743,0.5,1.870357865,3.769122436,5.593788002,1.144743,0.289,0.96671808
62,08-MoSe-Au-1,1.31973888,-2.543597979,2.1096,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,5.432159708,6.267633333,0.8,7.933537445,1.149696172,2.692209905,2.267633333,1.275,0.96679224
63,08-MoSe-Au-1,1.31840019,-2.588643365,2.129933333,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.176920333,6.250031667,0.8,2.057684336,1.149165319,2.733272972,2.250031667,1.275,0.96679224
64,08-MoSe-Au-1,1.32014759,-2.515233203,2.115633333,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,5.396157233,6.284201,0.8,-1.286357664,6.889630141,2.701478821,2.284201,1.275,0.96679224
65,08-MoSe-Au-1,1.4793634,-2.513628166,1.5201,4,9.753,2.02,2.55,1,9.950200081,9.950200081,85.74212825,4.983852563,6.312663,0.8,-3.432341151,7.824802741,3.139092513,2.312663,1.275,0.96679224
66,08-MoSe-Au-1,-0.36469634,-2.564529043,1.585,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.584901228,11.085756,0.8,3.313862893,3.283412438,5.494327203,1.085756,0.289,0.96679224
67,08-MoSe-Au-1,1.37409618,-2.515233203,2.021566667,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,5.846523691,6.284201,0.8,-1.658702464,6.698426118,2.592024464,2.284201,1.275,0.96679224
68,08-MoSe-Au-1,1.52175503,-2.496086758,2.205266667,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,8.256561617,6.252381,0.8,7.1834288,1.6038692,-2.70598274,2.252381,1.275,0.96679224
69,08-MoSe-Au-1,1.32207424,-2.543597979,2.0173,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,5.854086004,6.267633333,0.8,8.294768022,0.955885117,2.577121242,2.267633333,1.275,0.96679224
70,08-MoSe-Au-1,1.34271057,-2.03831554,1.894933333,4.333333333,8.866,1.595,2.42,3,9.950200081,9.950200081,85.74212825,4.196935869,8.664197667,0.8,0.263160055,5.544577924,1.757567974,4.330864333,0.425,0.96679224
71,08-MoSe-Au-1,-0.37060775,-2.564529043,1.5853,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.585211069,11.085756,0.8,2.724034305,4.324135138,5.555344597,1.085756,0.289,0.96679224
72,08-MoSe-Au-1,1.47949135,-2.516556564,1.5189,4,9.753,2.02,2.55,1,9.950200081,9.950200081,85.74212825,5.079146509,6.274567,0.8,-1.658201198,4.70824962,3.144458553,2.274567,1.275,0.96679224
73,08-MoSe-Au-1,-0.04045572,-2.564529043,1.584,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.583943498,11.085756,0.8,3.316401016,3.82990909,5.498973141,1.085756,0.289,0.96679224
74,08-MoSe-Au-1,1.31794484,-2.588643365,2.1333,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.186903009,6.250031667,0.8,2.073428009,1.136219888,2.73614363,2.250031667,1.275,0.96679224
75,08-MoSe-Au-1,-0.3699753,-2.564529043,1.5853,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.585247927,11.085756,0.8,1.529405017,3.655868488,5.555806563,1.085756,0.289,0.96679224
76,08-MoSe-Au-1,1.35303216,-2.588643365,2.120933333,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.834071286,6.250031667,0.8,1.671962736,0.533176788,2.708488445,2.250031667,1.275,0.96679224
77,08-MoSe-Au-1,-0.36474722,-2.564529043,1.5843,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.584263948,11.085756,0.8,3.316569656,3.281164441,5.493277224,1.085756,0.289,0.96679224
78,08-MoSe-Au-1,1.35731333,-2.515233203,2.123566667,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,5.611850133,6.284201,0.8,-1.663611423,6.275633932,2.721133838,2.284201,1.275,0.96679224
79,08-MoSe-Au-2,1.1260469,-2.506908738,2.1312,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.194728749,6.271233333,0.8,6.270985037,4.08744961,2.734939952,2.271233333,1.275,0.96679224
80,08-MoSe-Au-2,1.28672568,-2.50627765,1.5195,4,9.753,2.02,2.55,1,9.950200081,9.950200081,85.74212825,5.064057866,6.275332,0.8,-1.787429781,4.865867775,3.141524007,2.275332,1.275,0.96679224
81,08-MoSe-Au-2,-0.56371469,-2.498639434,1.5855,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.585435673,11.14374,0.8,2.584784162,2.707994532,5.573557065,1.14374,0.289,0.96679224
82,08-MoSe-Au-2,1.16210493,-2.621667775,2.133433333,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.860835049,6.236977333,0.8,3.699910464,4.053144136,2.727983907,2.236977333,1.275,0.96679224
83,08-MoSe-Au-2,1.28598163,-2.573418307,2.15238,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.245074954,6.240458333,0.8,1.65838,6.21797,2.764854545,2.240458333,1.275,0.96679224
84,08-MoSe-Au-2,1.1259578,-2.506908738,2.132466667,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.199381944,6.271233333,0.8,6.268325344,4.0885633,2.736797442,2.271233333,1.275,0.96679224
85,08-MoSe-Au-2,1.36321753,-1.968742357,1.837833333,4.333333333,8.866,1.595,2.42,3,9.950200081,9.950200081,85.74212825,5.407222146,8.660179333,0.8,7.064575931,0.396957728,1.755896566,4.326846,0.425,0.96679224
86,08-MoSe-Au-2,-0.56478594,-2.498639434,1.586,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.585959939,11.14374,0.8,2.477223909,1.272155742,5.577766772,1.14374,0.289,0.96679224
87,08-MoSe-Au-2,1.28725603,-2.514529675,1.5195,4,9.753,2.02,2.55,1,9.950200081,9.950200081,85.74212825,5.06143202,6.239425,0.8,6.642550225,1.770546523,3.142322689,2.239425,1.275,0.96679224
88,08-MoSe-Au-2,1.46313633,-2.50627765,1.5165,4,9.753,2.02,2.55,1,9.950200081,9.950200081,85.74212825,3.884067627,6.275332,0.8,-1.674040163,4.796352849,3.14716592,2.275332,1.275,0.96679224
89,08-MoSe-Au-2,-0.25208255,-2.498639434,1.5812,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.581105548,11.14374,0.8,1.658367018,2.872428338,5.291693158,1.14374,0.289,0.96679224
90,08-MoSe-Au-2,-0.56209501,-2.498639434,1.5853,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.585266559,11.14374,0.8,2.159675513,2.119956176,5.545093305,1.14374,0.289,0.96679224
91,08-MoSe-Au-2,-0.55986867,-2.498639434,1.5851,10,9.225,2.309,2.54,1,9.950200081,9.950200081,85.74212825,1.585063888,11.14374,0.8,2.733818433,3.055392656,5.518602378,1.14374,0.289,0.96679224
92,08-MoSe-Au-2,1.12589683,-2.505589595,2.135333333,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.190619383,6.275043,0.8,5.031941007,6.249452479,2.737759685,2.275043,1.275,0.96679224
93,08-MoSe-Au-2,1.28546694,-2.573418307,2.153166667,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,3.280105734,6.240458333,0.8,1.651376477,6.216661174,2.765963094,2.240458333,1.275,0.96679224
94,08-MoSe-Au-2,1.34312998,-2.573418307,2.1197,4,9.753,2.02,2.55,3,9.950200081,9.950200081,85.74212825,4.227905671,6.240458333,0.8,2.026600739,6.91907078,2.711618127,2.240458333,1.275,0.96679224
95,12-MoSe-Au-1,1.32665067,-2.555501804,2.124566667,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,5.419435338,6.235292667,1.2,8.69485637,1.16503392,2.696229368,2.235292667,1.275,0.96674383
96,12-MoSe-Au-1,-0.3660406,-2.550423107,1.5859,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.585829911,11.092712,1.2,3.872365905,2.857507077,5.561040236,1.092712,0.289,0.96674383
97,12-MoSe-Au-1,-0.3650756,-2.550423107,1.5856,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.585552638,11.092712,1.2,2.30056911,2.356930818,5.545622007,1.092712,0.289,0.96674383
98,12-MoSe-Au-1,1.31957605,-2.603044032,2.138466667,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,3.184637444,6.345962333,1.2,5.020229527,6.287103085,2.734119077,2.345962333,1.275,0.96674383
99,12-MoSe-Au-1,-0.36703175,-2.550423107,1.5859,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.585880411,11.092712,1.2,2.519960917,4.327104839,5.576130799,1.092712,0.289,0.96674383
100,12-MoSe-Au-1,1.3275861,-2.033399582,1.909466667,4.333333333,8.866,1.595,2.42,3,9.989700317,9.989700317,86.42423651,4.24968956,8.719285333,1.2,0.314939191,5.589872527,1.752974123,4.385952,0.425,0.96674383
101,12-MoSe-Au-1,1.37557338,-1.994228164,1.916266667,4.333333333,8.866,1.595,2.42,3,9.989700317,9.989700317,86.42423651,5.349287477,8.596226333,1.2,-1.642432945,3.351103539,1.788282079,4.262893,0.425,0.96674383
102,12-MoSe-Au-1,1.3334676,-2.555501804,2.0216,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,5.876813709,6.235292667,1.2,8.326021566,0.960777933,2.569925055,2.235292667,1.275,0.96674383
103,12-MoSe-Au-1,1.35855183,-2.52106555,2.142166667,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,5.63562694,6.455868,1.2,-1.275174624,6.945555633,2.72967776,2.455868,1.275,0.96674383
104,12-MoSe-Au-1,-0.36478183,-2.550423107,1.5857,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.585658372,11.092712,1.2,4.065043412,4.063976689,5.526161577,1.092712,0.289,0.96674383
105,12-MoSe-Au-1,1.4670693,-2.509470133,1.5192,4,9.753,2.02,2.55,1,9.989700317,9.989700317,86.42423651,5.070924013,6.349248,1.2,-1.657994102,4.706537584,3.131373652,2.349248,1.275,0.96674383
106,12-MoSe-Au-1,-0.03157944,-2.550423107,1.5834,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.58330079,11.092712,1.2,3.329119371,3.845371896,5.493151035,1.092712,0.289,0.96674383
107,12-MoSe-Au-1,1.31981931,-2.603044032,2.1472,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,3.168220337,6.345962333,1.2,5.057817982,6.267106453,2.741082919,2.345962333,1.275,0.96674383
108,12-MoSe-Au-1,1.3532708,-2.603044032,2.136966667,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,3.865368505,6.345962333,1.2,5.379030298,6.949486792,2.71489766,2.345962333,1.275,0.96674383
109,12-MoSe-Au-1,-0.36330602,-2.550423107,1.5854,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.585339702,11.092712,1.2,2.645722926,5.458009748,5.529138641,1.092712,0.289,0.96674383
110,12-MoSe-Au-1,-0.36432189,-2.550423107,1.5849,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.584866942,11.092712,1.2,2.708653774,4.211961399,5.530966246,1.092712,0.289,0.96674383
111,12-MoSe-Au-1,1.35880293,-2.52106555,2.141233333,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,5.62970144,6.455868,1.2,-1.27183376,6.938734008,2.727968741,2.455868,1.275,0.96674383
112,12-MoSe-Au-2,1.12465345,-2.520007621,2.143833333,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,3.192135298,6.303361333,1.2,5.411765903,6.91150326,2.736186637,2.303361333,1.275,0.96674383
113,12-MoSe-Au-2,1.33061876,-2.520007621,2.147066667,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,4.835289138,6.303361333,1.2,5.051163314,6.266366208,2.734077429,2.303361333,1.275,0.96674383
114,12-MoSe-Au-2,-0.55804516,-2.497684417,1.5857,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.585675982,11.304689,1.2,2.329258258,2.425167927,5.548284038,1.304689,0.289,0.96674383
115,12-MoSe-Au-2,1.2882245,-2.574585402,2.162533333,4,9.753,2.02,2.55,3,9.989700317,9.989700317,86.42423651,3.252169675,6.240065333,1.2,1.669905972,6.240427348,2.765827403,2.240065333,1.275,0.96674383
116,12-MoSe-Au-2,1.35012863,-2.042407135,1.8523,4.333333333,8.866,1.595,2.42,3,9.989700317,9.989700317,86.42423651,3.567501171,8.590692667,1.2,0.60205441,0.103970585,1.758822565,4.257359333,0.425,0.96674383
117,12-MoSe-Au-2,1.36072329,-1.968250041,1.8684,4.333333333,8.866,1.595,2.42,3,9.989700317,9.989700317,86.42423651,5.676418419,8.565621,1.2,7.146154023,-0.004627098,1.773442483,4.232287667,0.425,0.96674383
118,12-MoSe-Au-2,-0.55804995,-2.497684417,1.5854,10,9.225,2.309,2.54,1,9.989700317,9.989700317,86.42423651,1.585398582,11.304689,1.2,0.993577235,2.458318967,5.544155875,1.304689,0.289,0.96674383
